date,hh,state,distance,consumption
2020-03-03 08:15:00,56.25,home,0.0,0.0
2020-03-03 08:30:00,56.5,home,0.0,0.0
2020-03-03 08:45:00,56.75,home,0.0,0.0
2020-03-03 09:00:00,57.0,home,0.0,0.0
2020-03-03 09:15:00,57.25,home,0.0,0.0
2020-03-03 09:30:00,57.5,home,0.0,0.0
2020-03-03 09:45:00,57.75,home,0.0,0.0
2020-03-03 10:00:00,58.0,home,0.0,0.0
2020-03-03 10:15:00,58.25,home,0.0,0.0
2020-03-03 10:30:00,58.5,home,0.0,0.0
2020-03-03 10:45:00,58.75,home,0.0,0.0
2020-03-03 11:00:00,59.0,home,0.0,0.0
2020-03-03 11:15:00,59.25,home,0.0,0.0
2020-03-03 11:30:00,59.5,home,0.0,0.0
2020-03-03 11:45:00,59.75,home,0.0,0.0
2020-03-03 12:00:00,60.0,home,0.0,0.0
2020-03-03 12:15:00,60.25,home,0.0,0.0
2020-03-03 12:30:00,60.5,home,0.0,0.0
2020-03-03 12:45:00,60.75,home,0.0,0.0
2020-03-03 13:00:00,61.0,home,0.0,0.0
2020-03-03 13:15:00,61.25,home,0.0,0.0
2020-03-03 13:30:00,61.5,home,0.0,0.0
2020-03-03 13:45:00,61.75,home,0.0,0.0
2020-03-03 14:00:00,62.0,home,0.0,0.0
2020-03-03 14:15:00,62.25,home,0.0,0.0
2020-03-03 14:30:00,62.5,home,0.0,0.0
2020-03-03 14:45:00,62.75,home,0.0,0.0
2020-03-03 15:00:00,63.0,home,0.0,0.0
2020-03-03 15:15:00,63.25,home,0.0,0.0
2020-03-03 15:30:00,63.5,home,0.0,0.0
2020-03-03 15:45:00,63.75,home,0.0,0.0
2020-03-03 16:00:00,64.0,home,0.0,0.0
2020-03-03 16:15:00,64.25,home,0.0,0.0
2020-03-03 16:30:00,64.5,home,0.0,0.0
2020-03-03 16:45:00,64.75,home,0.0,0.0
2020-03-03 17:00:00,65.0,home,0.0,0.0
2020-03-03 17:15:00,65.25,home,0.0,0.0
2020-03-03 17:30:00,65.5,home,0.0,0.0
2020-03-03 17:45:00,65.75,home,0.0,0.0
2020-03-03 18:00:00,66.0,home,0.0,0.0
2020-03-03 18:15:00,66.25,home,0.0,0.0
2020-03-03 18:30:00,66.5,home,0.0,0.0
2020-03-03 18:45:00,66.75,home,0.0,0.0
2020-03-03 19:00:00,67.0,home,0.0,0.0
2020-03-03 19:15:00,67.25,home,0.0,0.0
2020-03-03 19:30:00,67.5,home,0.0,0.0
2020-03-03 19:45:00,67.75,home,0.0,0.0
2020-03-03 20:00:00,68.0,home,0.0,0.0
2020-03-03 20:15:00,68.25,home,0.0,0.0
2020-03-03 20:30:00,68.5,home,0.0,0.0
2020-03-03 20:45:00,68.75,home,0.0,0.0
2020-03-03 21:00:00,69.0,home,0.0,0.0
2020-03-03 21:15:00,69.25,home,0.0,0.0
2020-03-03 21:30:00,69.5,home,0.0,0.0
2020-03-03 21:45:00,69.75,home,0.0,0.0
2020-03-03 22:00:00,70.0,home,0.0,0.0
2020-03-03 22:15:00,70.25,home,0.0,0.0
2020-03-03 22:30:00,70.5,home,0.0,0.0
2020-03-03 22:45:00,70.75,home,0.0,0.0
2020-03-03 23:00:00,71.0,home,0.0,0.0
2020-03-03 23:15:00,71.25,home,0.0,0.0
2020-03-03 23:30:00,71.5,home,0.0,0.0
2020-03-03 23:45:00,71.75,home,0.0,0.0
2020-03-04 00:00:00,72.0,home,0.0,0.0
2020-03-04 00:15:00,72.25,home,0.0,0.0
2020-03-04 00:30:00,72.5,home,0.0,0.0
2020-03-04 00:45:00,72.75,home,0.0,0.0
2020-03-04 01:00:00,73.0,home,0.0,0.0
2020-03-04 01:15:00,73.25,home,0.0,0.0
2020-03-04 01:30:00,73.5,home,0.0,0.0
2020-03-04 01:45:00,73.75,home,0.0,0.0
2020-03-04 02:00:00,74.0,home,0.0,0.0
2020-03-04 02:15:00,74.25,home,0.0,0.0
2020-03-04 02:30:00,74.5,home,0.0,0.0
2020-03-04 02:45:00,74.75,home,0.0,0.0
2020-03-04 03:00:00,75.0,home,0.0,0.0
2020-03-04 03:15:00,75.25,home,0.0,0.0
2020-03-04 03:30:00,75.5,home,0.0,0.0
2020-03-04 03:45:00,75.75,home,0.0,0.0
2020-03-04 04:00:00,76.0,home,0.0,0.0
2020-03-04 04:15:00,76.25,home,0.0,0.0
2020-03-04 04:30:00,76.5,home,0.0,0.0
2020-03-04 04:45:00,76.75,home,0.0,0.0
2020-03-04 05:00:00,77.0,home,0.0,0.0
2020-03-04 05:15:00,77.25,home,0.0,0.0
2020-03-04 05:30:00,77.5,home,0.0,0.0
2020-03-04 05:45:00,77.75,home,0.0,0.0
2020-03-04 06:00:00,78.0,home,0.0,0.0
2020-03-04 06:15:00,78.25,home,0.0,0.0
2020-03-04 06:30:00,78.5,home,0.0,0.0
2020-03-04 06:45:00,78.75,home,0.0,0.0
2020-03-04 07:00:00,79.0,home,0.0,0.0
2020-03-04 07:15:00,79.25,home,0.0,0.0
2020-03-04 07:30:00,79.5,home,0.0,0.0
2020-03-04 07:45:00,79.75,home,0.0,0.0
2020-03-04 08:00:00,80.0,home,0.0,0.0
2020-03-04 08:15:00,80.25,home,0.0,0.0
2020-03-04 08:30:00,80.5,home,0.0,0.0
2020-03-04 08:45:00,80.75,home,0.0,0.0
2020-03-04 09:00:00,81.0,home,0.0,0.0
2020-03-04 09:15:00,81.25,home,0.0,0.0
2020-03-04 09:30:00,81.5,home,0.0,0.0
2020-03-04 09:45:00,81.75,home,0.0,0.0
2020-03-04 10:00:00,82.0,home,0.0,0.0
2020-03-04 10:15:00,82.25,home,0.0,0.0
2020-03-04 10:30:00,82.5,home,0.0,0.0
2020-03-04 10:45:00,82.75,home,0.0,0.0
2020-03-04 11:00:00,83.0,home,0.0,0.0
2020-03-04 11:15:00,83.25,home,0.0,0.0
2020-03-04 11:30:00,83.5,home,0.0,0.0
2020-03-04 11:45:00,83.75,home,0.0,0.0
2020-03-04 12:00:00,84.0,home,0.0,0.0
2020-03-04 12:15:00,84.25,home,0.0,0.0
2020-03-04 12:30:00,84.5,home,0.0,0.0
2020-03-04 12:45:00,84.75,home,0.0,0.0
2020-03-04 13:00:00,85.0,home,0.0,0.0
2020-03-04 13:15:00,85.25,home,0.0,0.0
2020-03-04 13:30:00,85.5,home,0.0,0.0
2020-03-04 13:45:00,85.75,home,0.0,0.0
2020-03-04 14:00:00,86.0,home,0.0,0.0
2020-03-04 14:15:00,86.25,driving,1.0,0.6093306098983813
2020-03-04 14:30:00,86.5,leisure,0.0,0.0
2020-03-04 14:45:00,86.75,leisure,0.0,0.0
2020-03-04 15:00:00,87.0,leisure,0.0,0.0
2020-03-04 15:15:00,87.25,driving,1.0,0.3844864395537424
2020-03-04 15:30:00,87.5,shopping,0.0,0.0
2020-03-04 15:45:00,87.75,shopping,0.0,0.0
2020-03-04 16:00:00,88.0,shopping,0.0,0.0
2020-03-04 16:15:00,88.25,shopping,0.0,0.0
2020-03-04 16:30:00,88.5,shopping,0.0,0.0
2020-03-04 16:45:00,88.75,shopping,0.0,0.0
2020-03-04 17:00:00,89.0,driving,10.0,2.0384369670047744
2020-03-04 17:15:00,89.25,driving,10.0,2.0384369670047744
2020-03-04 17:30:00,89.5,home,0.0,0.0
2020-03-04 17:45:00,89.75,home,0.0,0.0
2020-03-04 18:00:00,90.0,home,0.0,0.0
2020-03-04 18:15:00,90.25,home,0.0,0.0
2020-03-04 18:30:00,90.5,home,0.0,0.0
2020-03-04 18:45:00,90.75,home,0.0,0.0
2020-03-04 19:00:00,91.0,home,0.0,0.0
2020-03-04 19:15:00,91.25,home,0.0,0.0
2020-03-04 19:30:00,91.5,home,0.0,0.0
2020-03-04 19:45:00,91.75,home,0.0,0.0
2020-03-04 20:00:00,92.0,home,0.0,0.0
2020-03-04 20:15:00,92.25,home,0.0,0.0
2020-03-04 20:30:00,92.5,home,0.0,0.0
2020-03-04 20:45:00,92.75,home,0.0,0.0
2020-03-04 21:00:00,93.0,home,0.0,0.0
2020-03-04 21:15:00,93.25,home,0.0,0.0
2020-03-04 21:30:00,93.5,home,0.0,0.0
2020-03-04 21:45:00,93.75,home,0.0,0.0
2020-03-04 22:00:00,94.0,home,0.0,0.0
2020-03-04 22:15:00,94.25,home,0.0,0.0
2020-03-04 22:30:00,94.5,home,0.0,0.0
2020-03-04 22:45:00,94.75,home,0.0,0.0
2020-03-04 23:00:00,95.0,home,0.0,0.0
2020-03-04 23:15:00,95.25,home,0.0,0.0
2020-03-04 23:30:00,95.5,home,0.0,0.0
2020-03-04 23:45:00,95.75,home,0.0,0.0
2020-03-05 00:00:00,96.0,home,0.0,0.0
2020-03-05 00:15:00,96.25,home,0.0,0.0
2020-03-05 00:30:00,96.5,home,0.0,0.0
2020-03-05 00:45:00,96.75,home,0.0,0.0
2020-03-05 01:00:00,97.0,home,0.0,0.0
2020-03-05 01:15:00,97.25,home,0.0,0.0
2020-03-05 01:30:00,97.5,home,0.0,0.0
2020-03-05 01:45:00,97.75,home,0.0,0.0
2020-03-05 02:00:00,98.0,home,0.0,0.0
2020-03-05 02:15:00,98.25,home,0.0,0.0
2020-03-05 02:30:00,98.5,home,0.0,0.0
2020-03-05 02:45:00,98.75,home,0.0,0.0
2020-03-05 03:00:00,99.0,home,0.0,0.0
2020-03-05 03:15:00,99.25,home,0.0,0.0
2020-03-05 03:30:00,99.5,home,0.0,0.0
2020-03-05 03:45:00,99.75,home,0.0,0.0
2020-03-05 04:00:00,100.0,home,0.0,0.0
2020-03-05 04:15:00,100.25,home,0.0,0.0
2020-03-05 04:30:00,100.5,home,0.0,0.0
2020-03-05 04:45:00,100.75,home,0.0,0.0
2020-03-05 05:00:00,101.0,home,0.0,0.0
2020-03-05 05:15:00,101.25,home,0.0,0.0
2020-03-05 05:30:00,101.5,home,0.0,0.0
2020-03-05 05:45:00,101.75,home,0.0,0.0
2020-03-05 06:00:00,102.0,home,0.0,0.0
2020-03-05 06:15:00,102.25,home,0.0,0.0
2020-03-05 06:30:00,102.5,home,0.0,0.0
2020-03-05 06:45:00,102.75,home,0.0,0.0
2020-03-05 07:00:00,103.0,home,0.0,0.0
2020-03-05 07:15:00,103.25,home,0.0,0.0
2020-03-05 07:30:00,103.5,home,0.0,0.0
